LCLid,stdorToU,DateTime,KWh,Acorn,Acorn_grouped
MAC000021,Std,2011-12-07 10:00:00.0000000,0.4185,ACORN-E,Affluent
MAC000021,Std,2011-12-07 11:00:00.0000000,0.4645,ACORN-E,Affluent
MAC000021,Std,2011-12-07 12:00:00.0000000,0.4650000000000001,ACORN-E,Affluent
MAC000021,Std,2011-12-07 13:00:00.0000000,0.436,ACORN-E,Affluent
MAC000021,Std,2011-12-07 14:00:00.0000000,0.4455,ACORN-E,Affluent
MAC000021,Std,2011-12-07 15:00:00.0000000,0.45199999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-07 16:00:00.0000000,0.599,ACORN-E,Affluent
MAC000021,Std,2011-12-07 17:00:00.0000000,0.5005000000000001,ACORN-E,Affluent
MAC000021,Std,2011-12-07 18:00:00.0000000,0.6795,ACORN-E,Affluent
MAC000021,Std,2011-12-07 19:00:00.0000000,0.964,ACORN-E,Affluent
MAC000021,Std,2011-12-07 20:00:00.0000000,1.0425,ACORN-E,Affluent
MAC000021,Std,2011-12-07 21:00:00.0000000,0.9215,ACORN-E,Affluent
MAC000021,Std,2011-12-07 22:00:00.0000000,0.9199999999999999,ACORN-E,Affluent
MAC000021,Std,2011-12-07 23:00:00.0000000,0.8719999999999999,ACORN-E,Affluent
MAC000021,Std,2011-12-08 00:00:00.0000000,0.8975,ACORN-E,Affluent
MAC000021,Std,2011-12-08 01:00:00.0000000,0.9300000500000001,ACORN-E,Affluent
MAC000021,Std,2011-12-08 02:00:00.0000000,0.733,ACORN-E,Affluent
MAC000021,Std,2011-12-08 03:00:00.0000000,0.4235,ACORN-E,Affluent
MAC000021,Std,2011-12-08 04:00:00.0000000,0.4305,ACORN-E,Affluent
MAC000021,Std,2011-12-08 05:00:00.0000000,0.3815,ACORN-E,Affluent
MAC000021,Std,2011-12-08 06:00:00.0000000,0.46099999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-08 07:00:00.0000000,0.7825,ACORN-E,Affluent
MAC000021,Std,2011-12-08 08:00:00.0000000,0.7425,ACORN-E,Affluent
MAC000021,Std,2011-12-08 09:00:00.0000000,0.394,ACORN-E,Affluent
MAC000021,Std,2011-12-08 10:00:00.0000000,0.4135,ACORN-E,Affluent
MAC000021,Std,2011-12-08 11:00:00.0000000,0.371,ACORN-E,Affluent
MAC000021,Std,2011-12-08 12:00:00.0000000,0.4,ACORN-E,Affluent
MAC000021,Std,2011-12-08 13:00:00.0000000,0.455,ACORN-E,Affluent
MAC000021,Std,2011-12-08 14:00:00.0000000,0.47550000000000003,ACORN-E,Affluent
MAC000021,Std,2011-12-08 15:00:00.0000000,0.4955,ACORN-E,Affluent
MAC000021,Std,2011-12-08 16:00:00.0000000,0.986,ACORN-E,Affluent
MAC000021,Std,2011-12-08 17:00:00.0000000,0.9319999999999999,ACORN-E,Affluent
MAC000021,Std,2011-12-08 18:00:00.0000000,0.6935,ACORN-E,Affluent
MAC000021,Std,2011-12-08 19:00:00.0000000,0.42600000000000005,ACORN-E,Affluent
MAC000021,Std,2011-12-08 20:00:00.0000000,0.368,ACORN-E,Affluent
MAC000021,Std,2011-12-08 21:00:00.0000000,0.3805,ACORN-E,Affluent
MAC000021,Std,2011-12-08 22:00:00.0000000,0.4305,ACORN-E,Affluent
MAC000021,Std,2011-12-08 23:00:00.0000000,0.391,ACORN-E,Affluent
MAC000021,Std,2011-12-09 00:00:00.0000000,0.5175,ACORN-E,Affluent
MAC000021,Std,2011-12-09 01:00:00.0000000,0.389,ACORN-E,Affluent
MAC000021,Std,2011-12-09 02:00:00.0000000,0.388,ACORN-E,Affluent
MAC000021,Std,2011-12-09 03:00:00.0000000,0.352,ACORN-E,Affluent
MAC000021,Std,2011-12-09 04:00:00.0000000,0.4195,ACORN-E,Affluent
MAC000021,Std,2011-12-09 05:00:00.0000000,0.40149999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-09 06:00:00.0000000,0.40700000000000003,ACORN-E,Affluent
MAC000021,Std,2011-12-09 07:00:00.0000000,0.46699999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-09 08:00:00.0000000,0.911,ACORN-E,Affluent
MAC000021,Std,2011-12-09 09:00:00.0000000,0.823,ACORN-E,Affluent
MAC000021,Std,2011-12-09 10:00:00.0000000,1.275,ACORN-E,Affluent
MAC000021,Std,2011-12-09 11:00:00.0000000,0.608,ACORN-E,Affluent
MAC000021,Std,2011-12-09 12:00:00.0000000,0.5695,ACORN-E,Affluent
MAC000021,Std,2011-12-09 13:00:00.0000000,0.401,ACORN-E,Affluent
MAC000021,Std,2011-12-09 14:00:00.0000000,0.6619999999999999,ACORN-E,Affluent
MAC000021,Std,2011-12-09 15:00:00.0000000,0.64,ACORN-E,Affluent
MAC000021,Std,2011-12-09 16:00:00.0000000,0.367,ACORN-E,Affluent
MAC000021,Std,2011-12-09 17:00:00.0000000,0.384,ACORN-E,Affluent
MAC000021,Std,2011-12-09 18:00:00.0000000,0.39949999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-09 19:00:00.0000000,0.34450000000000003,ACORN-E,Affluent
MAC000021,Std,2011-12-09 20:00:00.0000000,0.396,ACORN-E,Affluent
MAC000021,Std,2011-12-09 21:00:00.0000000,0.437,ACORN-E,Affluent
MAC000021,Std,2011-12-09 22:00:00.0000000,0.323,ACORN-E,Affluent
MAC000021,Std,2011-12-09 23:00:00.0000000,0.42100000000000004,ACORN-E,Affluent
MAC000021,Std,2011-12-10 00:00:00.0000000,0.36,ACORN-E,Affluent
MAC000021,Std,2011-12-10 01:00:00.0000000,0.39949999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-10 02:00:00.0000000,0.416,ACORN-E,Affluent
MAC000021,Std,2011-12-10 03:00:00.0000000,0.34650000000000003,ACORN-E,Affluent
MAC000021,Std,2011-12-10 04:00:00.0000000,0.39349999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-10 05:00:00.0000000,0.35550000000000004,ACORN-E,Affluent
MAC000021,Std,2011-12-10 06:00:00.0000000,0.4105,ACORN-E,Affluent
MAC000021,Std,2011-12-10 07:00:00.0000000,0.4655,ACORN-E,Affluent
MAC000021,Std,2011-12-10 08:00:00.0000000,0.4555,ACORN-E,Affluent
MAC000021,Std,2011-12-10 09:00:00.0000000,0.4095,ACORN-E,Affluent
MAC000021,Std,2011-12-10 10:00:00.0000000,0.384,ACORN-E,Affluent
MAC000021,Std,2011-12-10 11:00:00.0000000,0.36650000000000005,ACORN-E,Affluent
MAC000021,Std,2011-12-10 12:00:00.0000000,0.3415,ACORN-E,Affluent
MAC000021,Std,2011-12-10 13:00:00.0000000,0.38849999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-10 14:00:00.0000000,0.373,ACORN-E,Affluent
MAC000021,Std,2011-12-10 15:00:00.0000000,0.3795,ACORN-E,Affluent
MAC000021,Std,2011-12-10 16:00:00.0000000,0.3725,ACORN-E,Affluent
MAC000021,Std,2011-12-10 17:00:00.0000000,0.3875,ACORN-E,Affluent
MAC000021,Std,2011-12-10 18:00:00.0000000,0.4405,ACORN-E,Affluent
MAC000021,Std,2011-12-10 19:00:00.0000000,0.4435,ACORN-E,Affluent
MAC000021,Std,2011-12-10 20:00:00.0000000,0.441,ACORN-E,Affluent
MAC000021,Std,2011-12-10 21:00:00.0000000,0.4505,ACORN-E,Affluent
MAC000021,Std,2011-12-10 22:00:00.0000000,0.42450000000000004,ACORN-E,Affluent
MAC000021,Std,2011-12-10 23:00:00.0000000,0.36,ACORN-E,Affluent
MAC000021,Std,2011-12-11 00:00:00.0000000,0.387,ACORN-E,Affluent
MAC000021,Std,2011-12-11 01:00:00.0000000,0.386,ACORN-E,Affluent
MAC000021,Std,2011-12-11 02:00:00.0000000,0.3825,ACORN-E,Affluent
MAC000021,Std,2011-12-11 03:00:00.0000000,0.395,ACORN-E,Affluent
MAC000021,Std,2011-12-11 04:00:00.0000000,0.349,ACORN-E,Affluent
MAC000021,Std,2011-12-11 05:00:00.0000000,0.36350000000000005,ACORN-E,Affluent
MAC000021,Std,2011-12-11 06:00:00.0000000,0.4265,ACORN-E,Affluent
MAC000021,Std,2011-12-11 07:00:00.0000000,0.40049999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-11 08:00:00.0000000,0.4515,ACORN-E,Affluent
MAC000021,Std,2011-12-11 09:00:00.0000000,0.4215,ACORN-E,Affluent
MAC000021,Std,2011-12-11 10:00:00.0000000,0.3285,ACORN-E,Affluent
MAC000021,Std,2011-12-11 11:00:00.0000000,0.3735,ACORN-E,Affluent
MAC000021,Std,2011-12-11 12:00:00.0000000,0.34550000000000003,ACORN-E,Affluent
MAC000021,Std,2011-12-11 13:00:00.0000000,0.33699999999999997,ACORN-E,Affluent
MAC000021,Std,2011-12-11 14:00:00.0000000,0.358,ACORN-E,Affluent
MAC000021,Std,2011-12-11 15:00:00.0000000,0.381,ACORN-E,Affluent
MAC000021,Std,2011-12-11 16:00:00.0000000,0.6,ACORN-E,Affluent
MAC000021,Std,2011-12-11 17:00:00.0000000,1.0779999999999998,ACORN-E,Affluent
MAC000021,Std,2011-12-11 18:00:00.0000000,1.1355,ACORN-E,Affluent
MAC000021,Std,2011-12-11 19:00:00.0000000,0.9955,ACORN-E,Affluent
MAC000021,Std,2011-12-11 20:00:00.0000000,0.804,ACORN-E,Affluent
MAC000021,Std,2011-12-11 21:00:00.0000000,1.0274999999999999,ACORN-E,Affluent
MAC000021,Std,2011-12-11 22:00:00.0000000,0.683,ACORN-E,Affluent
MAC000021,Std,2011-12-11 23:00:00.0000000,0.45949999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-12 00:00:00.0000000,0.39049999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-12 01:00:00.0000000,0.406,ACORN-E,Affluent
MAC000021,Std,2011-12-12 02:00:00.0000000,0.38,ACORN-E,Affluent
MAC000021,Std,2011-12-12 03:00:00.0000000,0.4075,ACORN-E,Affluent
MAC000021,Std,2011-12-12 04:00:00.0000000,0.3865,ACORN-E,Affluent
MAC000021,Std,2011-12-12 05:00:00.0000000,0.373,ACORN-E,Affluent
MAC000021,Std,2011-12-12 06:00:00.0000000,0.429,ACORN-E,Affluent
MAC000021,Std,2011-12-12 07:00:00.0000000,0.522,ACORN-E,Affluent
MAC000021,Std,2011-12-12 08:00:00.0000000,0.89,ACORN-E,Affluent
MAC000021,Std,2011-12-12 09:00:00.0000000,1.0845,ACORN-E,Affluent
MAC000021,Std,2011-12-12 10:00:00.0000000,0.6315,ACORN-E,Affluent
MAC000021,Std,2011-12-12 11:00:00.0000000,0.5985,ACORN-E,Affluent
MAC000021,Std,2011-12-12 12:00:00.0000000,0.4185,ACORN-E,Affluent
MAC000021,Std,2011-12-12 13:00:00.0000000,0.593,ACORN-E,Affluent
MAC000021,Std,2011-12-12 14:00:00.0000000,0.5845,ACORN-E,Affluent
MAC000021,Std,2011-12-12 15:00:00.0000000,0.39749999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-12 16:00:00.0000000,0.4465,ACORN-E,Affluent
MAC000021,Std,2011-12-12 17:00:00.0000000,0.4505,ACORN-E,Affluent
MAC000021,Std,2011-12-12 18:00:00.0000000,0.9550000000000001,ACORN-E,Affluent
MAC000021,Std,2011-12-12 19:00:00.0000000,0.899,ACORN-E,Affluent
MAC000021,Std,2011-12-12 20:00:00.0000000,0.5025,ACORN-E,Affluent
MAC000021,Std,2011-12-12 21:00:00.0000000,0.6065,ACORN-E,Affluent
MAC000021,Std,2011-12-12 22:00:00.0000000,1.0855,ACORN-E,Affluent
MAC000021,Std,2011-12-12 23:00:00.0000000,1.2265000000000001,ACORN-E,Affluent
MAC000021,Std,2011-12-13 00:00:00.0000000,0.5795,ACORN-E,Affluent
MAC000021,Std,2011-12-13 01:00:00.0000000,0.669,ACORN-E,Affluent
MAC000021,Std,2011-12-13 02:00:00.0000000,0.386,ACORN-E,Affluent
MAC000021,Std,2011-12-13 03:00:00.0000000,0.40900000000000003,ACORN-E,Affluent
MAC000021,Std,2011-12-13 04:00:00.0000000,0.39649999999999996,ACORN-E,Affluent
MAC000021,Std,2011-12-13 05:00:00.0000000,0.3615,ACORN-E,Affluent
MAC000021,Std,2011-12-13 06:00:00.0000000,0.403,ACORN-E,Affluent
MAC000021,Std,2011-12-13 07:00:00.0000000,0.438,ACORN-E,Affluent
MAC000021,Std,2011-12-13 08:00:00.0000000,0.796,ACORN-E,Affluent
MAC000021,Std,2011-12-13 09:00:00.0000000,0.7515,ACORN-E,Affluent
MAC000021,Std,2011-12-13 10:00:00.0000000,0.9564999999999999,ACORN-E,Affluent
MAC000021,Std,2011-12-13 11:00:00.0000000,0.704,ACORN-E,Affluent
MAC000021,Std,2011-12-13 12:00:00.0000000,1.03,ACORN-E,Affluent
MAC000021,Std,2011-12-13 13:00:00.0000000,1.2770000000000001,ACORN-E,Affluent
MAC000021,Std,2011-12-13 14:00:00.0000000,0.714,ACORN-E,Affluent
MAC000021,Std,2011-12-13 15:00:00.0000000,0.6275,ACORN-E,Affluent
MAC000021,Std,2011-12-13 16:00:00.0000000,1.033,ACORN-E,Affluent
